Sector,Entidad,Tipo de gasto,Régimen,Tipologia especifica,Contratos,Valor total reportaddo
Localidades,Fondo de Desarrollo Local Los Mártires,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),69,$ 1513900000
Localidades,Fondo de Desarrollo Local Puente Aranda,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),169,$ 4310400000
Localidades,Fondo de Desarrollo Local Rafael Uribe Uribe,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),184,$ 3922005767
Localidades,Fondo de Desarrollo Local San Cristóbal,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),312,$ 8799400000
Localidades,Fondo de Desarrollo Local Santa Fé,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),126,$ 2887412500
Localidades,Fondo de Desarrollo Local Suba,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),272,$ 5779882000
Localidades,Fondo de Desarrollo Local Sumapaz,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),120,$ 2625775000
Localidades,Fondo de Desarrollo Local Teusaquillo,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),85,$ 1667071000
Localidades,Fondo de Desarrollo Local Tunjuelito,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),149,$ 2948300000
Localidades,Fondo de Desarrollo Local Usaquén,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),103,$ 2419558014
Localidades,Fondo de Desarrollo Local Usme,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),228,$ 4498200000
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),6,$ 140007900
Movilidad,Instituto de Desarrollo Urbano - IDU,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1288,$ 95909801834
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),45,$ 1362841201
Gobierno,Instituto Distrital de la Participación y Acción Comunal - IDPAC,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),117,$ 2073931350
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),623,$ 22885987100
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),71,$ 1853982000
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),2092,$ 63870505733
Desarrollo Económico Industria y Turismo,Instituto Distrital de Turismo - IDT,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),47,$ 1399947654
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),58,$ 2000007960
Desarrollo Económico Industria y Turismo,Instituto para la Economía Social - IPES,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),116,$ 3528702491
Integración Social,Instituto para la Protección de la Niñez y la Juventud - IDIPRON,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),818,$ 12802023485
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),450,$ 10929126202
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),24,$ 720878193
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),42,$ 926916000
Educación,Secretaría de Educación del Distrito,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),271,$ 6049216575
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),165,$ 3866386133
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),56,$ 2168909400
Desarrollo Económico Industria y Turismo,Secretaría Distrital de Desarrollo Económico,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),102,$ 2804051927
Gobierno,Secretaría Distrital de Gobierno,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),266,$ 7662090267
Hacienda,Secretaría Distrital de Hacienda,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),9,$ 156130000
Integración Social,Secretaría Distrital de Integración Social,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),2520,$ 70056683416
Mujeres,Secretaría Distrital de la Mujer,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),68,$ 2050539431
Movilidad,Secretaría Distrital de Movilidad,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1595,$ 50080282736
Planeación,Secretaría Distrital de Planeación,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),37,$ 967617697
Salud,Secretaría Distrital De Salud,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),397,$ 9333154958
Seguridad Convivencia y Justicia,Secretaría Distrital de Seguridad Convivencia y Justicia,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),765,$ 24788631749
Hábitat,Secretaría Distrital del Hábitat,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),106,$ 3314829845
Gestión Pública,Secretaría General de la Alcaldía Mayor de Bogotá,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),72,$ 2400142143
Gestión Jurídica,Secretaría Jurídica Distrital,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),3,$ 90283950
Seguridad Convivencia y Justicia,Unidad Administrativa Especial Cuerpo Oficial De Bomberos - UAECOB,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),147,$ 4205855723
Hacienda,Unidad Administrativa Especial de Catastro Distrital - UAECD,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),68,$ 1783150658
Movilidad,Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial - UAERMV,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),49,$ 1194357213
Hábitat,Unidad Administrativa Especial de Servicios Públicos - UAESP,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),73,$ 2951981666
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),4,$ 134940000
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 0
Ambiente,Secretaría Distrital de Ambiente,Otro,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 0
Localidades,Fondo de Desarrollo Local San Cristóbal,Inversión,Ley 80,Servicios Artísticos,1,$ 44000000
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Artísticos,7,$ 172776853
Localidades,Fondo de Desarrollo Local Usaquén,Inversión,Ley 80,Servicios Asistenciales de Salud,2,$ 56200000
Hábitat,Caja de Vivienda Popular - CVP,Funcionamiento,Ley 80,Servicios Profesionales,21,$ 1335252000
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,79,$ 1890558530
Gestión Pública,Departamento Administrativo del Servicio Civil Distrital - DASCD,Funcionamiento,Ley 80,Servicios Profesionales,8,$ 514130272
Movilidad,Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A.,Funcionamiento,Ley 80,Servicios Profesionales,154,$ 15196475602
Localidades,Fondo de Desarrollo Local Usaquén,Funcionamiento,Ley 80,Servicios Profesionales,2,$ 122100000
Hacienda,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - FONCEP",Funcionamiento,Ley 80,Servicios Profesionales,120,$ 8415477449
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Servicios Profesionales,82,$ 6126999660
Gobierno,Instituto Distrital de la Participación y Acción Comunal - IDPAC,Funcionamiento,Ley 80,Servicios Profesionales,17,$ 633380000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Profesionales,4,$ 367150000
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Funcionamiento,Ley 80,Servicios Profesionales,2,$ 110110000
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Funcionamiento,Ley 80,Servicios Profesionales,4,$ 286239830
Educación,Instituto para la Investigación Educativa y el Desarrollo Pedagógico - IDEP,Funcionamiento,Ley 80,Servicios Profesionales,1,$ 68000000
Integración Social,Instituto para la Protección de la Niñez y la Juventud - IDIPRON,Funcionamiento,Ley 80,Servicios Profesionales,112,$ 4678120770
Movilidad,Metro de Bogotá S.A.,Funcionamiento,Ley 80,Servicios Profesionales,21,$ 2615324842
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Funcionamiento,Ley 80,Servicios Profesionales,3,$ 318256700
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,337,$ 13682500000
Educación,Secretaría de Educación del Distrito,Funcionamiento,Ley 80,Servicios Profesionales,6,$ 661957600
Ambiente,Secretaría Distrital de Ambiente,Funcionamiento,Ley 80,Servicios Profesionales,49,$ 4515076200
Gobierno,Secretaría Distrital de Gobierno,Funcionamiento,Ley 80,Servicios Profesionales,20,$ 1388753333
Hacienda,Secretaría Distrital de Hacienda,Funcionamiento,Ley 80,Servicios Profesionales,351,$ 22946597860
Mujeres,Secretaría Distrital de la Mujer,Funcionamiento,Ley 80,Servicios Profesionales,9,$ 664414730
Planeación,Secretaría Distrital de Planeación,Funcionamiento,Ley 80,Servicios Profesionales,17,$ 1413045325
Gestión Pública,Secretaría General de la Alcaldía Mayor de Bogotá,Funcionamiento,Ley 80,Servicios Profesionales,203,$ 19467943707
Gestión Jurídica,Secretaría Jurídica Distrital,Funcionamiento,Ley 80,Servicios Profesionales,27,$ 2681786367
Hacienda,Unidad Administrativa Especial de Catastro Distrital - UAECD,Funcionamiento,Ley 80,Servicios Profesionales,21,$ 1864991190
Movilidad,Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial - UAERMV,Funcionamiento,Ley 80,Servicios Profesionales,14,$ 691356000
Hábitat,Unidad Administrativa Especial de Servicios Públicos - UAESP,Funcionamiento,Ley 80,Servicios Profesionales,14,$ 2085300000
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,103,$ 6498838035
Educación,"Agencia Distrital para la Educación Superior, la Ciencia y la Tecnología - ATENEA",Inversión,Ley 80,Servicios Profesionales,384,$ 36090906801
Hábitat,Caja de Vivienda Popular - CVP,Inversión,Ley 80,Servicios Profesionales,421,$ 27947897799
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,186,$ 4400728127
Gobierno,Departamento Administrativo de la Defensoría del Espacio Público - DADEP,Inversión,Ley 80,Servicios Profesionales,233,$ 18441169249
Gestión Pública,Departamento Administrativo del Servicio Civil Distrital - DASCD,Inversión,Ley 80,Servicios Profesionales,63,$ 3121912077
Movilidad,Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A.,Inversión,Ley 80,Servicios Profesionales,464,$ 32201378306
Localidades,Fondo de Desarrollo Local  Candelaria,Inversión,Ley 80,Servicios Profesionales,71,$ 2214424662
Localidades,Fondo De Desarrollo Local Antonio Nariño,Inversión,Ley 80,Servicios Profesionales,143,$ 5327700600
Localidades,Fondo de Desarrollo Local Barrios Unidos,Inversión,Ley 80,Servicios Profesionales,159,$ 7836769379
Localidades,Fondo de Desarrollo Local Bosa,Inversión,Ley 80,Servicios Profesionales,434,$ 18646077133
Localidades,Fondo de Desarrollo Local Chapinero,Inversión,Ley 80,Servicios Profesionales,182,$ 7835428700
Localidades,Fondo de Desarrollo Local de Ciudad Bolívar,Inversión,Ley 80,Servicios Profesionales,382,$ 19055081000
Localidades,Fondo de Desarrollo Local Engativá,Inversión,Ley 80,Servicios Profesionales,324,$ 15285568000
Localidades,Fondo de Desarrollo Local Fontibón,Inversión,Ley 80,Servicios Profesionales,244,$ 12216686667
Localidades,Fondo de Desarrollo Local Los Mártires,Inversión,Ley 80,Servicios Profesionales,139,$ 6835611999
Localidades,Fondo de Desarrollo Local Puente Aranda,Inversión,Ley 80,Servicios Profesionales,227,$ 10206112000
Localidades,Fondo de Desarrollo Local Rafael Uribe Uribe,Inversión,Ley 80,Servicios Profesionales,230,$ 10569429666
Localidades,Fondo de Desarrollo Local San Cristóbal,Inversión,Ley 80,Servicios Profesionales,367,$ 18959060000
Localidades,Fondo de Desarrollo Local Santa Fé,Inversión,Ley 80,Servicios Profesionales,155,$ 7265544000
Localidades,Fondo de Desarrollo Local Suba,Inversión,Ley 80,Servicios Profesionales,326,$ 13712328000
Localidades,Fondo de Desarrollo Local Sumapaz,Inversión,Ley 80,Servicios Profesionales,210,$ 9783333000
Localidades,Fondo de Desarrollo Local Teusaquillo,Inversión,Ley 80,Servicios Profesionales,144,$ 4872548500
Localidades,Fondo de Desarrollo Local Tunjuelito,Inversión,Ley 80,Servicios Profesionales,193,$ 7536033333
Localidades,Fondo de Desarrollo Local Usaquén,Inversión,Ley 80,Servicios Profesionales,191,$ 8003274000
Localidades,Fondo de Desarrollo Local Usme,Inversión,Ley 80,Servicios Profesionales,249,$ 9778500000
Hacienda,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - FONCEP",Inversión,Ley 80,Servicios Profesionales,5,$ 328216667
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Inversión,Ley 80,Servicios Profesionales,11,$ 446840500
Movilidad,Instituto de Desarrollo Urbano - IDU,Inversión,Ley 80,Servicios Profesionales,2,$ 521900000
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Profesionales,246,$ 15454584457
Gobierno,Instituto Distrital de la Participación y Acción Comunal - IDPAC,Inversión,Ley 80,Servicios Profesionales,296,$ 10590442758
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Servicios Profesionales,1117,$ 51508298652
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Profesionales,273,$ 13361586669
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Inversión,Ley 80,Servicios Profesionales,1151,$ 69097961233
Desarrollo Económico Industria y Turismo,Instituto Distrital de Turismo - IDT,Inversión,Ley 80,Servicios Profesionales,95,$ 5813653668
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Inversión,Ley 80,Servicios Profesionales,204,$ 12583851808
Desarrollo Económico Industria y Turismo,Instituto para la Economía Social - IPES,Inversión,Ley 80,Servicios Profesionales,185,$ 13349337882
Educación,Instituto para la Investigación Educativa y el Desarrollo Pedagógico - IDEP,Inversión,Ley 80,Servicios Profesionales,79,$ 5148761846
Integración Social,Instituto para la Protección de la Niñez y la Juventud - IDIPRON,Inversión,Ley 80,Servicios Profesionales,411,$ 11213606357
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Profesionales,535,$ 25936428407
Movilidad,Metro de Bogotá S.A.,Inversión,Ley 80,Servicios Profesionales,97,$ 11631974585
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Profesionales,452,$ 20417282106
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,96,$ 3854560000
Educación,Secretaría de Educación del Distrito,Inversión,Ley 80,Servicios Profesionales,1758,$ 92717471490
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Profesionales,1048,$ 61955394311
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Servicios Profesionales,503,$ 38532101983
Desarrollo Económico Industria y Turismo,Secretaría Distrital de Desarrollo Económico,Inversión,Ley 80,Servicios Profesionales,511,$ 36933274116
Gobierno,Secretaría Distrital de Gobierno,Inversión,Ley 80,Servicios Profesionales,725,$ 45006446518
Hacienda,Secretaría Distrital de Hacienda,Inversión,Ley 80,Servicios Profesionales,25,$ 925167000
Integración Social,Secretaría Distrital de Integración Social,Inversión,Ley 80,Servicios Profesionales,5999,$ 288146954258
Mujeres,Secretaría Distrital de la Mujer,Inversión,Ley 80,Servicios Profesionales,824,$ 53211981313
Movilidad,Secretaría Distrital de Movilidad,Inversión,Ley 80,Servicios Profesionales,1354,$ 107357711743
Planeación,Secretaría Distrital de Planeación,Inversión,Ley 80,Servicios Profesionales,462,$ 37045194002
Salud,Secretaría Distrital De Salud,Inversión,Ley 80,Servicios Profesionales,1350,$ 83043076182
Seguridad Convivencia y Justicia,Secretaría Distrital de Seguridad Convivencia y Justicia,Inversión,Ley 80,Servicios Profesionales,1050,$ 73983019271
Hábitat,Secretaría Distrital del Hábitat,Inversión,Ley 80,Servicios Profesionales,777,$ 56473464773
Gestión Pública,Secretaría General de la Alcaldía Mayor de Bogotá,Inversión,Ley 80,Servicios Profesionales,313,$ 20338210917
Gestión Jurídica,Secretaría Jurídica Distrital,Inversión,Ley 80,Servicios Profesionales,87,$ 5937931711
Seguridad Convivencia y Justicia,Unidad Administrativa Especial Cuerpo Oficial De Bomberos - UAECOB,Inversión,Ley 80,Servicios Profesionales,298,$ 16723764761
Hacienda,Unidad Administrativa Especial de Catastro Distrital - UAECD,Inversión,Ley 80,Servicios Profesionales,223,$ 16011849745
Movilidad,Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial - UAERMV,Inversión,Ley 80,Servicios Profesionales,323,$ 17066238257
Hábitat,Unidad Administrativa Especial de Servicios Públicos - UAESP,Inversión,Ley 80,Servicios Profesionales,252,$ 18767776255
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,20,$ 1294703334
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Profesionales,4,$ 0
Ambiente,Secretaría Distrital de Ambiente,Otro,Ley 80,Servicios Profesionales,85,$ 0
Hábitat,Empresa de Acueducto y Alcantarillado de Bogotá E.S.P. - EAAB,Funcionamiento,Privado,Otros Servicios,1,$ 20997000
Movilidad,Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A.,Funcionamiento,Privado,Otros Servicios,6,$ 6
Salud,Subred Integrada de Servicios de Salud Sur Occidente E.S.E.,Funcionamiento,Privado,Otros Servicios,5,$ 1755000000
Educación,"Universidad Distrital ""Francisco José de Caldas""",Funcionamiento,Privado,Otros Servicios,3,$ 128655054
Educación,"Universidad Distrital ""Francisco José de Caldas""",Inversión,Privado,Otros Servicios,1,$ 10000000
Educación,"Universidad Distrital ""Francisco José de Caldas""",Otro,Privado,Otros Servicios,383,$ 13097058630
Cultura Recreación y Deporte,Canal Capital,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),33,$ 1355675683
Hábitat,Empresa de Acueducto y Alcantarillado de Bogotá E.S.P. - EAAB,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),965,$ 58607228003
Hábitat,Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 22800000
Hacienda,Lotería De Bogotá,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),7,$ 155233920
Salud,Subred Integrada de Servicios de Salud Centro Oriente E.S.E.,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),672,$ 19831135759
Salud,Subred Integrada de Servicios de Salud Norte E.S.E.,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),653,$ 11169578693
